Albrechtice n.Orl.	Albrechtice nad Orlicí
Rožmberk n.Vlt.	Rožmberk nad Vltavou
Rožmitál p.Tř.	Rožmitál pod Třemšínem
Rožnov p.Radh.	Rožnov pod Radhoštěm
Rtyně n.Bílinou	Rtyně nad Bílinou
Rtyně v Podkr.	Rtyně v Podkrkonoší
Ruda n.Mor.	Ruda nad Moravou
Rudná p.Prad.	Rudná pod Pradědem
Rybná n.Zdob.	Rybná nad Zdobnicí
Rychnov n.Kněž.	Rychnov nad Kněžnou
Rychnov u Jablonce n.N.	Rychnov u Jablonce nad Nisou
Rychnov u Jablonce n.Nisou	Rychnov u Jablonce nad Nisou
Řečany n.L.	Řečany nad Labem
Říčky v Orl.h.	Říčky v Orlických horách
Skalice n.Svit.	Skalice nad Svitavou
Sklené n.Osl.	Sklené nad Oslavou
Skuhrov n.Bělou	Skuhrov nad Bělou
Slatina n.Úpou	Slatina nad Úpou
Slatina n.Zdob.	Slatina nad Zdobnicí
Slavětín n.Met.	Slavětín nad Metují
Slavkov p.Host.	Slavkov pod Hostýnem
Stará Červ.Voda	Stará Červená Voda
Stará Ves n.Ondř.	Stará Ves nad Ondřejnicí
Staré Město p.Land.	Staré Město pod Landštejnem
Stráž n.Než.	Stráž nad Nežárkou
Stráž n.Nisou	Stráž nad Nisou
Stráž n.Ohří	Stráž nad Ohří
Stráž p.Ralskem	Stráž pod Ralskem
Strunkovice n.Blan.	Strunkovice nad Blanicí
Strunkovice n.Vol.	Strunkovice nad Volyňkou
Střítež n.Bečvou	Střítež nad Bečvou
Střítež n.Ludinou	Střítež nad Ludinou
Střítež p.Křemešníkem	Střítež pod Křemešníkem
Sudislav n.Orl.	Sudislav nad Orlicí
Sudoměřice u Bech.	Sudoměřice u Bechyně
Suchdol n.Luž.	Suchdol nad Lužnicí
Suchdol n.Odrou	Suchdol nad Odrou
Svatý Jan n.Malší	Svatý Jan nad Malší
Svatý Jan p.Skalou	Svatý Jan pod Skalou
Světlá n.Sáz.	Světlá nad Sázavou
Světlá p.Ještědem	Světlá pod Ještědem
Svoboda n.Úpou	Svoboda nad Úpou
Šenov u N.Jičína	Šenov u Nového Jičína
Štěpánov n.Svratkou	Štěpánov nad Svratkou
Štítná n.Vláří-Popov	Štítná nad Vláří-Popov
Teplice n.Bečvou	Teplice nad Bečvou
Teplice n.Met.	Teplice nad Metují
Třebechovice p.Oreb.	Třebechovice pod Orebem
Týn n.Bečvou	Týn nad Bečvou
Týn n.Vlt.	Týn nad Vltavou
Týnec n.L.	Týnec nad Labem
Týnec n.Sáz.	Týnec nad Sázavou
Týniště n.Orl.	Týniště nad Orlicí
Újezd p.Tr.	Újezd pod Troskami
Ústí n.L.	Ústí nad Labem
